country,2004,2005,2006,2007
Abkhazia,0,0,0,0
Aruba,0,0,0,0
Afghanistan,0,0,0,0
Angola,0,0,0,0
Anguilla,0,0,0,0
Akrotiri and Dhekelia,0,0,0,0
Åland,0,0,0,0
Albania,0,0,0,0
Andorra,0,0,0,0
Netherlands Antilles,0,0,0,0
UAE,2,2,5,5
Argentina,1,1,1,1
Armenia,0,0,0,0
American Samoa,0,0,0,0
Antigua and Barbuda,0,0,0,0
Australia,5,6,7,12
Austria,3,4,3,3
Azerbaijan,0,0,0,0
Burundi,0,0,0,0
Belgium,1,1,2,2
Benin,0,0,0,0
Burkina Faso,0,0,0,0
Bangladesh,0,0,0,0
Bulgaria,0,0,0,0
Bahrain,0,0,0,0
Bahamas,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Belarus,0,0,0,0
Belize,0,0,0,0
Bermuda,0,0,0,0
Bolivia,0,0,0,0
Brazil,6,8,16,20
Barbados,0,0,0,0
Brunei,0,0,0,0
Bhutan,0,0,0,0
Botswana,0,0,0,0
Central African Republic,0,0,0,0
Canada,17,17,22,23
Cocos Island,0,0,0,0
Channel Islands,0,0,0,0
Switzerland,7,8,8,8
Czechoslovakia,0,0,0,0
Chile,3,3,2,3
China,1,2,8,20
Cote d'Ivoire,0,0,0,0
Cameroon,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0
"Congo, Rep.",0,0,0,0
Cook Is,0,0,0,0
Colombia,2,2,2,2
Comoros,0,0,0,0
Cape Verde,0,0,0,0
Costa Rica,0,0,0,0
Cuba,0,0,0,0
Christmas Island,0,0,0,0
Cayman Islands,0,0,0,0
Cyprus,0,0,0,2
Northern Cyprus,0,0,0,0
Czech Republic,0,0,1,1
Germany,52,57,55,55
East Germany,0,0,0,0
West Germany,0,0,0,0
Djibouti,0,0,0,0
Dominica,0,0,0,0
Denmark,3,3,2,2
Dominican Republic,0,0,0,0
Algeria,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,1,2,4
Eritrea,0,0,0,0
Eritrea and Ethiopia,0,0,0,0
Western Sahara,0,0,0,0
Spain,8,10,10,20
Estonia,0,0,0,0
Ethiopia,0,0,0,0
Finland,0,0,0,0
Fiji,0,0,0,0
Falkland Is (Malvinas),0,0,0,0
France,12,14,14,15
Faeroe Islands,0,0,0,0
"Micronesia, Fed. Sts.",0,0,0,0
Gabon,0,0,0,0
Guernsey,0,0,0,0
Isle of Man,0,0,0,0
UK,17,24,24,29
Georgia,0,0,0,0
Ghana,0,0,0,0
Gibraltar,0,0,0,0
Guinea,0,0,0,0
Guadeloupe,0,0,0,0
Gambia,0,0,0,0
Guinea-Bissau,0,0,0,0
Equatorial Guinea,0,0,0,0
Greece,1,1,1,1
Grenada,0,0,0,0
Greenland,0,0,0,0
Guatemala,0,0,0,0
French Guiana,0,0,0,0
Guam,0,0,0,0
Guyana,0,0,0,0
"Hong Kong, China",14,15,17,21
Honduras,0,0,0,0
Holy See,0,0,0,0
Croatia,0,0,0,0
Haiti,0,0,0,0
Hungary,0,0,0,0
Indonesia,1,2,2,2
India,9,12,23,36
Ireland,2,3,4,4
Iran,0,0,0,0
Iraq,0,0,0,0
Iceland,0,1,1,2
Israel,5,6,8,9
Italy,14,10,14,13
Jamaica,0,0,0,0
Jersey,0,0,0,0
Jordan,0,0,0,0
Japan,22,24,27,24
Kazakhstan,0,3,2,5
Kenya,0,0,0,0
Kyrgyz Republic,0,0,0,0
Cambodia,0,0,0,0
Kiribati,0,0,0,0
St. Kitts and Nevis,0,0,0,0
South Korea,2,3,4,10
Kosovo,0,0,0,0
Kuwait,2,2,3,4
Lao,0,0,0,0
Lebanon,1,0,3,4
Liberia,0,0,0,0
Libya,0,0,0,0
St. Lucia,0,0,0,0
Liechtenstein,1,1,0,0
Sri Lanka,0,0,0,0
Lesotho,0,0,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
Latvia,0,0,0,0
"Macao, China",0,0,0,0
Morocco,0,0,0,0
Monaco,0,1,1,1
Moldova,0,0,0,0
Madagascar,0,0,0,0
Maldives,0,0,0,0
Mexico,11,10,10,10
Marshall Islands,0,0,0,0
North Macedonia,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Myanmar,0,0,0,0
Montenegro,0,0,0,0
Mongolia,0,0,0,0
Northern Mariana Islands,0,0,0,0
Mozambique,0,0,0,0
Mauritania,0,0,0,0
Montserrat,0,0,0,0
Martinique,0,0,0,0
Mauritius,0,0,0,0
Malawi,0,0,0,0
Malaysia,5,6,8,9
Mayotte,0,0,0,0
Namibia,0,0,0,0
New Caledonia,0,0,0,0
Niger,0,0,0,0
Norfolk Island,0,0,0,0
Nigeria,0,0,0,0
Ngorno-Karabakh,0,0,0,0
Nicaragua,0,0,0,0
Niue,0,0,0,0
Netherlands,4,4,4,4
Norway,4,4,4,4
Nepal,0,0,0,0
Nauru,0,0,0,0
New Zealand,0,0,2,3
Oman,0,0,0,1
Pakistan,0,0,0,0
Panama,0,0,0,0
